file_name,window_label,start_minute,end_minute,n_grids,mean_score,median_score,std_score,count_0,count_1,count_2,count_3,ratio_0,ratio_1,ratio_2,ratio_3
engagement_0m_3m.json,0m-3m,0,3,10,2.2,2.0,0.6,0,1,6,3,0.0,0.1,0.6,0.3
engagement_3m_6m.json,3m-6m,3,6,11,2.090909090909091,2,0.7925270806437589,0,3,4,4,0.0,0.2727272727272727,0.36363636363636365,0.36363636363636365
engagement_6m_9m.json,6m-9m,6,9,10,2.3,3.0,0.9,0,3,1,6,0.0,0.3,0.1,0.6
engagement_9m_12m.json,9m-12m,9,12,10,1.7,2.0,0.6403124237432849,0,4,5,1,0.0,0.4,0.5,0.1
engagement_12m_15m.json,12m-15m,12,15,9,2.111111111111111,3,1.0999438818457405,1,2,1,5,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.5555555555555556
engagement_15m_18m.json,15m-18m,15,18,9,2.2222222222222223,3,1.030402055055078,1,1,2,5,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5555555555555556
engagement_18m_21m.json,18m-21m,18,21,11,1.9090909090909092,2,0.9958591954639384,1,3,3,4,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.36363636363636365
engagement_21m_24m.json,21m-24m,21,24,11,1.7272727272727273,2,1.2128785512842122,3,1,3,4,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.36363636363636365
engagement_24m_27m.json,24m-27m,24,27,12,2.0833333333333335,2.5,1.114924013354971,2,1,3,6,0.16666666666666666,0.08333333333333333,0.25,0.5
engagement_27m_30m.json,27m-30m,27,30,11,2.090909090909091,2,0.9958591954639384,1,2,3,5,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.45454545454545453
engagement_30m_33m.json,30m-33m,30,33,12,2.1666666666666665,3.0,1.1426091000668406,2,1,2,7,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334
engagement_33m_36m.json,33m-36m,33,36,12,2.1666666666666665,3.0,1.1426091000668406,2,1,2,7,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334
engagement_36m_39m.json,36m-39m,36,39,12,2.4166666666666665,3.0,0.9537935951882998,1,1,2,8,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.6666666666666666
engagement_39m_42m.json,39m-42m,39,42,18,2.1666666666666665,2.0,0.9574271077563381,2,1,7,8,0.1111111111111111,0.05555555555555555,0.3888888888888889,0.4444444444444444
